Copy of Services for Cancellation (Updated) - All
Category,Subcategory,Name,Plan,Price,Steps,Primary Cancellation,Secondary Cancellation
Video On Demand,,Amazon Prime Video,Prime Video,£5.99/month,"To turn off Auto-Renew on primevideo.com:

If you receive access to Prime Video as part of a Prime Video-only subscription:

1. Go to [Account & Settings](https://www.primevideo.com/settings/ref=atv_hp_cnt).
2. On the Your Account tab look for the Your Membership section.
3. Select End Membership and confirm.

If you receive access to Prime Video as a part of an Amazon Prime membership:

1. Go to [Account & Settings](https://www.primevideo.com/settings/ref=atv_hp_cnt).
2. On the Your Account tab, select Edit on Amazon in the Your Membership section.
3. Select End Membership and Benefits or End Trial and Benefits (as applicable) under Manage Membership, and then confirm.

Any additional subscriptions tied to your Amazon Prime or Prime Video membership will not renew once your Amazon Prime membership ends.",https://www.primevideo.com/settings/ref=atv_hp_cnt,https://www.primevideo.com/help/ref=atv_hp_nd_cnt?nodeId=GWGDSNXVPJ93UW5V
Video On Demand,,Amazon Prime Video,Amazon Prime Monthly,£7.99/month,"To turn off Auto-Renew on primevideo.com:

If you receive access to Prime Video as part of a Prime Video-only subscription:

1. Go to [Account & Settings](https://www.primevideo.com/settings/ref=atv_hp_cnt).
2. On the Your Account tab look for the Your Membership section.
3. Select End Membership and confirm.

If you receive access to Prime Video as a part of an Amazon Prime membership:

1. Go to [Account & Settings](https://www.primevideo.com/settings/ref=atv_hp_cnt).
2. On the Your Account tab, select Edit on Amazon in the Your Membership section.
3. Select End Membership and Benefits or End Trial and Benefits (as applicable) under Manage Membership, and then confirm.

Any additional subscriptions tied to your Amazon Prime or Prime Video membership will not renew once your Amazon Prime membership ends.",https://www.primevideo.com/settings/ref=atv_hp_cnt,https://www.primevideo.com/help/ref=atv_hp_nd_cnt?nodeId=GWGDSNXVPJ93UW5V
Video On Demand,,Amazon Prime Video,Amazon Prime Yearly,£79.00/year,"To turn off Auto-Renew on primevideo.com:

If you receive access to Prime Video as part of a Prime Video-only subscription:

1. Go to [Account & Settings](https://www.primevideo.com/settings/ref=atv_hp_cnt).
2. On the Your Account tab look for the Your Membership section.
3. Select End Membership and confirm.

If you receive access to Prime Video as a part of an Amazon Prime membership:

1. Go to [Account & Settings](https://www.primevideo.com/settings/ref=atv_hp_cnt).
2. On the Your Account tab, select Edit on Amazon in the Your Membership section.
3. Select End Membership and Benefits or End Trial and Benefits (as applicable) under Manage Membership, and then confirm.

Any additional subscriptions tied to your Amazon Prime or Prime Video membership will not renew once your Amazon Prime membership ends.",https://www.primevideo.com/settings/ref=atv_hp_cnt,https://www.primevideo.com/help/ref=atv_hp_nd_cnt?nodeId=GWGDSNXVPJ93UW5V
Video On Demand,,Amazon Prime Video,Prime Student,£3.99/month,"To turn off Auto-Renew on primevideo.com:

If you receive access to Prime Video as part of a Prime Video-only subscription:

1. Go to [Account & Settings](https://www.primevideo.com/settings/ref=atv_hp_cnt).
2. On the Your Account tab look for the Your Membership section.
3. Select End Membership and confirm.

If you receive access to Prime Video as a part of an Amazon Prime membership:

1. Go to [Account & Settings](https://www.primevideo.com/settings/ref=atv_hp_cnt).
2. On the Your Account tab, select Edit on Amazon in the Your Membership section.
3. Select End Membership and Benefits or End Trial and Benefits (as applicable) under Manage Membership, and then confirm.

Any additional subscriptions tied to your Amazon Prime or Prime Video membership will not renew once your Amazon Prime membership ends.",https://www.primevideo.com/settings/ref=atv_hp_cnt,https://www.primevideo.com/help/ref=atv_hp_nd_cnt?nodeId=GWGDSNXVPJ93UW5V
Video On Demand,,Netflix,Basic,£5.99/month,Streaming plans: select the Cancel Membership button on your Account page.,https://www.netflix.com/cancelplan,https://help.netflix.com/en/node/407
Video On Demand,,Netflix,Standard,£8.99/month,Streaming plans: select the Cancel Membership button on your Account page.,https://www.netflix.com/cancelplan,https://help.netflix.com/en/node/407
Video On Demand,,Netflix,Premium,£11.99/month,Streaming plans: select the Cancel Membership button on your Account page.,https://www.netflix.com/cancelplan,https://help.netflix.com/en/node/407
Video On Demand,,Now TV,Entertainment,£8.99/month,"Head to Passes & vouchers, hit Cancel Pass or Manage Pass next to the Pass you don’t want any more, then follow the onscreen steps.
OR 
To cancel now TV go to the my account button near the top right of any page on the website and select 'my passes' from the list then click the cancel pass button next to the appropriate pass. Remember each pass type needs to be cancelled separately.
After clicking cancel pass you will be taken through a series of dialogues. Follow the dialogues clicking the appropriate option each time. Once you have finished your get a notification confirming that the pass you have selected to be cancelled has been cancelled and you will no longer be charged for it.",https://account.nowtv.com/passes,https://help.nowtv.com/article/how-do-i-cancel-now-tv
Video On Demand,,Now TV,Sky Cinema,£11.99/month,"Head to Passes & vouchers, hit Cancel Pass or Manage Pass next to the Pass you don’t want any more, then follow the onscreen steps.
OR 
To cancel now TV go to the my account button near the top right of any page on the website and select 'my passes' from the list then click the cancel pass button next to the appropriate pass. Remember each pass type needs to be cancelled separately.
After clicking cancel pass you will be taken through a series of dialogues. Follow the dialogues clicking the appropriate option each time. Once you have finished your get a notification confirming that the pass you have selected to be cancelled has been cancelled and you will no longer be charged for it.",https://account.nowtv.com/passes,https://help.nowtv.com/article/how-do-i-cancel-now-tv
Video On Demand,,Now TV,Sky Cinema & Entertainment,£20.98/month,"Head to Passes & vouchers, hit Cancel Pass or Manage Pass next to the Pass you don’t want any more, then follow the onscreen steps.
OR 
To cancel now TV go to the my account button near the top right of any page on the website and select 'my passes' from the list then click the cancel pass button next to the appropriate pass. Remember each pass type needs to be cancelled separately.
After clicking cancel pass you will be taken through a series of dialogues. Follow the dialogues clicking the appropriate option each time. Once you have finished your get a notification confirming that the pass you have selected to be cancelled has been cancelled and you will no longer be charged for it.",https://account.nowtv.com/passes,https://help.nowtv.com/article/how-do-i-cancel-now-tv
